year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country_encoded
2018,10.366,0.863,69.3,0.87,-0.254,0.72,117
2013,10.091,0.795,65.12,0.541,-0.229,0.698,146
2015,8.361,0.562,57.3,0.587,0.085,0.717,111
2012,10.282,0.889,67.22,0.697,-0.192,0.793,44
2011,10.657,0.949,71.38,0.9,0.336,0.438,151
2011,7.425,0.819,45.42,0.54,0.031,0.876,27
2019,7.705,0.748,59.0,0.754,0.053,0.732,45
2008,7.215,0.591,42.1,0.716,0.148,0.925,126
2017,9.885,0.881,68.3,0.626,-0.083,0.756,97
2015,10.335,0.929,65.5,0.641,-0.254,0.924,84
2012,10.716,0.825,69.44666666666667,0.698,0.022,0.803,139
2007,8.824,0.811,67.06,0.841875,-0.176,0.755,29
2008,9.662,0.916,69.82,0.912,0.096,0.816,34
2021,8.361,0.688,60.704,0.779,0.154,0.825,74
2020,8.175,0.72,54.3,0.675,0.049,0.837,24
2013,10.074,0.889,61.76,0.782,-0.229,0.82,73
2012,9.086,0.757,63.813,0.636,0.027,0.95,75
2010,7.254,0.812,43.9,0.726,0.012,0.91,126
2014,9.856,0.88,64.62,0.647,-0.048,0.682,11
2014,7.734,0.789,55.26,0.654,0.11,0.878,141
2010,7.647,0.539,51.6,0.6,0.121,0.707,0
2013,10.571,0.958,72.36,0.944,0.237,0.312,104
2018,10.097,0.89,69.9,0.789,-0.06,0.816,28
2010,10.106,0.896,65.6,0.514,-0.145,0.983,60
2008,7.879,0.619,56.9,0.914,0.045,0.888,23
2018,8.028,0.621,57.2,0.56,0.086,0.794,31
2015,6.935,0.494,55.5,0.801,0.058,0.835,87
2011,10.435,0.914,68.24,0.787,-0.106,0.95,37
2014,8.121,0.693,60.02,0.938,0.239,0.843,23
2020,9.991,0.916,67.2,0.818,-0.004,0.901,20
2016,10.792,0.89,65.7,0.774,-0.132,0.5446666666666666,123
2006,8.993,0.647,65.12,0.553,-0.267,0.752,50
2018,7.823,0.63,54.4,0.731,0.092,0.778,55
2018,10.376,0.922,68.9,0.758,-0.167,0.91,128
2013,10.069,0.751,68.2,0.627,-0.204,0.936,35
2016,8.225,0.746,60.8,0.958,0.076,0.84,23
2007,10.587,0.957,72.06,0.782,-0.093,0.784,132
2012,7.52,0.744,50.78,0.622,-0.07,0.726,21
2011,10.091,0.79,68.0,0.517,-0.198,0.977,35
2012,8.799,0.676,64.1,0.757,-0.187,0.845,98
2009,9.949,0.812,64.96,0.606,-0.196,0.967,120
2011,7.125,0.387,43.08,0.78,-0.016,0.834,26
2018,8.914,0.554,65.9,0.773,-0.234,0.843,98
2016,8.46,0.647,56.4,0.751,0.09,0.894,52
2010,10.551,0.822,72.4,0.755,0.073,0.833,36
2021,9.076,0.83,62.0,0.917,-0.009307692307692308,0.742,116
2015,9.442,0.517,65.1,0.64,-0.205,0.502,50
2018,8.523,0.774,59.0,0.906,0.49,0.647,100
2009,10.044,0.908,60.42,0.617,-0.283,0.954,121
2006,10.972,0.967,70.14,0.943,0.242,0.473,66
2010,8.746,0.602125,63.5,0.663,-0.162,0.9,98
2019,10.893,0.886,72.5,0.885,0.057,0.462,51
2020,9.019,0.696,66.7,0.924,-0.126,0.583,43
2020,10.3,0.928,67.4,0.82,-0.078,0.809,79
2010,10.693,0.88,64.4,0.678,-0.033,0.5446666666666666,123
2010,8.797,0.807,61.0,0.703,-0.068,0.781,16
2016,7.993,0.493,53.5,0.78,-0.065,0.838,14
2012,11.567,0.914,72.06,0.917,0.059,0.403,85
2017,9.491,0.823,62.3,0.779,-0.019,0.673,83
2021,9.458,0.832,68.25,0.822,-0.11163636363636363,0.891,115
2009,8.989,0.924,59.44,0.7883749999999999,-0.102,0.888,147
2021,9.88,0.891,71.4,0.934,0.02,0.809,34
2013,10.004,0.778,65.86,0.655,-0.129,0.952,120
2015,8.173,0.729,60.4,0.956,0.21,0.825,23
2019,11.136,0.949,74.4,0.913,0.036,0.294,137
2016,9.354,0.719,59.0,0.666,-0.052,0.799,65
2011,9.278,0.869,64.62,0.666,0.191,0.756,114
2020,9.495,0.797,68.3,0.84,-0.085,0.808,30
2010,9.607,0.906,64.5,0.806,-0.054,0.656,19
2021,7.677,0.781,56.101,0.709,0.03910000000000001,0.855,148
2009,8.483,0.815,66.34,0.834,-0.062,0.838,156
2011,7.772,0.751,62.56,0.776,-0.119,0.672,140
2012,8.956,0.806,64.6,0.683,-0.155,0.786,43
2013,10.053,0.862,69.32,0.737,0.085,0.741,28
2008,10.929,0.983,70.82,0.894,0.322,0.487,66
2019,10.407,0.878,69.7,0.883,-0.231,0.696,117
2019,9.891,0.852,68.6,0.903,-0.141,0.809,94
2014,7.477,0.554,50.54,0.509,0.285,0.708,57
2011,9.331,0.759,66.68,0.487,-0.205,0.877,1
2013,9.443,0.664,64.62,0.73,0.216,0.685,64
2012,8.611,0.693,56.6,0.8997499999999999,0.232,0.644,78
2017,9.968,0.914,68.9,0.898,-0.091,0.627,153
2017,9.382,0.858,64.3,0.599,-0.002,0.937,149
2013,10.669,0.908,72.8,0.878,-0.125,0.699,47
2006,6.776,0.879,44.8,0.684,0.041,0.758,99
2021,8.947,0.728,58.968,0.91,0.295875,0.658,78
2010,7.812,0.6615,54.3,0.764,-0.058,0.597,39
2016,10.149,0.911,63.5,0.714,-0.181,0.925,121
2014,9.411,0.788,66.86,0.412,0.232,0.976,17
2013,10.576,0.869,73.898,0.775,-0.281,0.715,108
2008,9.045,0.872,60.94,0.641,-0.056,0.926,95
2019,7.449,0.611,52.4,0.718,0.074,0.874,126
2011,8.707,0.789,60.8,0.883,0.073,0.783,116
2013,9.638,0.828,66.68,0.533,-0.1,0.908,125
2007,9.117,0.548,65.04,0.464,-0.267,0.697,50
2006,8.912,0.864,65.78,0.724,0.062,0.838,133
2016,8.029,0.839,58.8,0.744,-0.086,0.794,124
2020,9.788,0.852,69.0,0.843,0.149,0.824,125
2016,9.45,0.875,55.7,0.774,-0.07,0.813,130
2015,9.225,0.809,61.5,0.779,0.471,0.946,63
2011,9.431,0.859,62.5,0.579,-0.228,0.933,149
2012,10.091,0.902,67.66,0.747,-0.148,0.817,4
2006,8.039,0.909,50.22,0.616,-0.02,0.86,74
2017,8.276,0.765,61.2,0.964,0.088,0.821,23
2005,9.849,0.922,66.3,0.782,-0.09540000000000001,0.983,117
2014,9.607,0.799,64.36,0.733,-0.208,0.654,8
2006,7.616,0.874,57.2,0.689,0.13140000000000002,0.897,102
2017,9.434,0.83,67.8,0.827,-0.154,0.895,115
2007,9.881,0.871,65.12,0.844,0.089,0.799,88
2009,10.709,0.904,65.94,0.896,0.037,0.506,9
2007,7.903,0.718,54.06,0.698,-0.002,0.827,124
2005,9.036,0.848,59.7,0.817,-0.13130769230769232,0.8282499999999999,42
2021,6.635,0.49,53.4,0.626,-0.035,0.607,22
2018,9.617,0.824,62.3,0.781,-0.101,0.646,83
2016,9.688,0.895,67.4,0.614,-0.068,0.89,125
2018,9.423,0.892,65.0,0.824,-0.084,0.929,95
2017,9.262,0.792,63.813,0.858,0.117,0.925,75
2017,7.157,0.678,53.2,0.823,-0.03,0.682,99
2006,8.562,0.795,59.8,0.828,0.063,0.841,116
2016,8.593,0.774,66.8,0.85,0.08,0.793,58
2007,7.196,0.594,49.14,0.79,0.115,0.776,82
2013,10.762,0.928,72.5,0.933,0.269,0.432,6
2009,7.909,0.81,55.42,0.557,-0.036,0.918,124
2012,9.513,0.798,64.811,0.613,-0.084,0.92,109
2007,8.434,0.866,64.48,0.836,0.14,0.826,105
2016,10.91,0.845,66.3,0.841,-0.075,0.557,76
2020,9.802,0.806,66.4,0.835,-0.128,0.636,40
2007,8.833,0.881,58.82,0.781,0.064,0.918,96
2015,9.266,0.73,60.8,0.659,-0.089,0.684,42
2018,7.348,0.596,54.7,0.612,-0.007,0.809,143
2014,9.222,0.816,65.9,0.729,-0.104,0.6945,72
2021,6.958,0.537,57.948,0.78,0.08374999999999999,0.729,87
2013,7.599,0.82,49.48,0.665,-0.053,0.755,90
2019,8.155,0.638,55.8,0.811,0.077,0.832,158
2015,10.531,0.956,73.5,0.732,-0.072,0.822,132
2016,6.785,0.29,44.9,0.624,0.033,0.859,26
2021,8.454,0.693,64.8,0.877,-0.018099999999999998,0.682,10
2015,9.799,0.878,70.7,0.907,-0.059,0.761,34
2018,9.296,0.822,63.813,0.89,0.269,0.922,75
2014,10.412,0.908,70.0,0.888,0.052,0.909,129
2010,7.604,0.813,52.3,0.597,0.139,0.866,141
2010,7.091,0.483,42.7,0.69,-0.036,0.845,26
2014,9.664,0.898,65.54,0.714,-0.115,0.71,19
2019,11.114,0.862,67.3,0.911,0.129,0.3715,150
2016,9.197,0.82,66.4,0.771,-0.038,0.6945,72
2008,10.793,0.923,71.62,0.912,0.125,0.314,136
2009,8.345,0.855,60.82,0.699,-0.14,0.896,77
2020,10.478,0.953,71.7,0.958,-0.081,0.797,129
2007,10.792,0.922,70.26,0.901,0.069,0.721,12
2014,10.94,0.834,76.82,0.843,0.224,0.423,59
2013,10.515,0.909,72.58,0.739,0.15,0.849,67
2015,8.477,0.857,63.2,0.813,0.2,0.858,77
2011,11.017,0.882,64.9,0.769,-0.074,0.56,76
2006,8.251,0.807,53.92,0.925,0.439,0.688,78
2018,10.727,0.921,73.8,0.816,-0.138,0.582,47
2015,10.716,0.948,71.6,0.93,0.111,0.223,46
2015,7.141,0.666,51.2,0.813,0.089,0.632,99
2010,10.879,0.973,71.5,0.856,0.348,0.618,66
2006,10.015,0.954,66.0,0.542,-0.05,0.946,128
2014,10.041,0.753,66.08,0.754,-0.1,0.958,120
2016,10.623,0.937,72.8,0.927,0.266,0.278,104
2021,8.118,0.71,59.802,0.695,-0.055363636363636365,0.801,124
2013,7.964,0.577,52.54,0.783,-0.085,0.856,14
2021,8.551,0.644,50.114,0.741,-0.03219999999999999,0.794,69
2014,8.12,0.778,49.9,0.795,-0.071,0.856,24
2010,9.576,0.898,65.5,0.86,0.536,0.917,142
2017,9.073,0.896,66.3,0.636,-0.169,0.844,155
2014,8.45,0.651,55.62,0.677,0.001,0.913,52
2014,9.414,0.558,65.04,0.72,-0.233,0.416,50
2009,8.984,0.856,61.12,0.551,-0.099,0.925,95
2017,8.306,0.715,59.5,0.853,0.234,0.854,74
2020,9.231,0.719,67.5,0.668,-0.202,0.877,145
2014,8.457,0.775,62.054,0.657,-0.147,0.804,112
2007,7.522,0.708,49.6,0.716,-0.013,0.707,141
2017,8.485,0.824,62.054,0.632,-0.163,0.831,112
2019,11.061,0.942,73.3,0.954,0.111,0.271,110
2014,6.935,0.512,54.48,0.786,0.061,0.824,87
2010,10.066,0.927,67.3,0.73,-0.126,0.855,4
2019,10.393,0.947,68.0,0.798,-0.195,0.884,60
2020,8.484,0.739,50.5,0.713,0.099,0.913,107
2018,10.307,0.913,66.8,0.608,-0.212,0.799,79
2010,10.756,0.939,70.9,0.843,0.095,0.688,51
2011,9.81,0.824,66.68,0.831,-0.099,0.698,94
2011,8.481,0.75,54.82,0.567,0.052,0.747,92
2021,8.145,0.708,55.809,0.782,0.015200000000000002,0.823,158
2013,8.581,0.663,47.58,0.622,0.051,0.905,107
2016,9.406,0.94,65.3,0.854,-0.071,0.756,114
2017,9.36,0.849,68.2,0.879,-0.167,0.734,41
2017,10.314,0.882,68.9,0.831,-0.122,0.639,117
2020,8.362,0.724,62.4,0.963,0.052,0.863,23
2021,9.585,0.671,64.3,0.783,-0.2439166666666667,0.655,50
2007,9.33,0.894,65.34,0.786,-0.04,0.86,30
2013,8.23,0.757,57.38,0.775,0.689,0.638,100
2012,9.804,0.838,65.9,0.641,-0.172,0.938,20
2008,10.796,0.951,70.08,0.934,0.028,0.217,46
2021,10.358,0.943,68.0,0.755,-0.157,0.876,60
2021,11.023,0.92,68.2,0.837,0.18090909090909094,0.698,152
2010,9.556,0.866,52.9,0.826,-0.143,0.814,18
2017,10.764,0.84,66.0,0.814,-0.131,0.5446666666666666,123
2018,10.344,0.941,67.6,0.693,-0.243,0.911,60
2010,10.691,0.831,69.6,0.677,0.005,0.821,139
2012,9.249,0.676,65.52,0.502,-0.215,0.893,5
2017,8.517,0.669,56.8,0.783,0.079,0.839,52
2019,8.126,0.88,64.4,0.758888888888889,-0.045,0.49,140
2021,9.266,0.691,67.201,0.656,-0.19274999999999998,0.87,145
